Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
Ford,Mustang,,2013,91K mi,"$15,998*"
Ford,Mustang,GT Premium,2021,31K mi,"$36,998*"
Chevrolet,Corvette,Stingray 3LT,2022,14K mi,"$76,998*"
Chevrolet,Corvette,Stingray 3LT,2021,2K mi,"$74,998*"
Fiat,124,Spider Abarth,2017,33K mi,"$21,998*"
Chevrolet,Corvette,Stingray,2014,29K mi,"$39,998*"
Porsche,718,Cayman,2017,25K mi,"$47,998*"
Chevrolet,Camaro,LT1,2021,25K mi,"$37,998*"
Ford,Mustang,Ecoboost Premium,2020,39K mi,"$25,998*"
Chevrolet,Corvette,Stingray 3LT,2022,9K mi,"$71,998*"
Chevrolet,Corvette,Stingray 2LT,2021,18K mi,"$70,998*"
Mazda,MX-5,Miata Grand Touring,2013,75K mi,"$16,998*"
Chevrolet,Camaro,SS,2016,34K mi,"$33,998*"
Nissan,370Z,,2014,100K mi,"$19,998*"
Chevrolet,Corvette,Grand Sport,2019,5K mi,"$61,998*"
Ford,Mustang,Ecoboost,2020,33K mi,"$25,998*"
Ford,Mustang,GT Premium,2020,28K mi,"$35,998*"
Acura,TLX,,2015,123K mi,"$13,998*"
Chevrolet,Corvette,Stingray 1LT,2021,12K mi,"$67,998*"
Ford,Mustang,Ecoboost Premium,2021,47K mi,"$22,998*"
Dodge,Challenger,SXT,2019,90K mi,"$18,998*"
Chevrolet,Corvette,Stingray 3LT,2022,4K mi,"$77,998*"
Toyota,86,,2018,57K mi,"$22,998*"
Chevrolet,Camaro,LS,2015,81K mi,"$16,998*"
Dodge,Challenger,R/T Plus,2014,64K mi,"$22,998*"
Chevrolet,Corvette,Stingray 3LT,2022,8K mi,"$77,998*"
Ford,Mustang,Ecoboost Premium,2022,54K mi,"$24,998*"
Mazda,MX-5,Miata Grand Touring,2021,25K mi,"$25,998*"
Jaguar,XE,25t,2019,45K mi,"$18,998*"
Ford,Mustang,Ecoboost Premium,2020,51K mi,"$20,998*"
Ford,Mustang,,2015,84K mi,"$16,998*"
Ford,Mustang,GT Premium,2023,47K mi,"$36,998*"
Chevrolet,Camaro,LT,2017,79K mi,"$21,998*"
Jaguar,XE,25t Premium,2019,62K mi,"$19,998*"
Chevrolet,Camaro,LT,2020,42K mi,"$23,998*"
Chevrolet,Camaro,LS,2015,12K mi,"$19,998*"
Chevrolet,Camaro,LT,2018,22K mi,"$24,998*"
Dodge,Challenger,GT,2020,72K mi,"$21,998*"
Chevrolet,Corvette,Stingray,2019,41K mi,"$45,998*"
Dodge,Charger,Scat Pack,2021,29K mi,"$43,998*"
Ford,Mustang,Ecoboost Premium,2016,97K mi,"$15,998*"
