Car Make,Car Model,Car Trim,Car Year,Car Mileage,Car Price
Chevrolet,Corvette,Stingray,2017,23K mi,"$45,998*"
Ford,Mustang,GT Premium,2023,1K mi,"$45,998*"
Ford,Mustang,Ecoboost Premium,2022,52K mi,"$24,998*"
Lexus,RC,350,2015,47K mi,"$28,998*"
Chevrolet,Corvette,Stingray 1LT,2023,9K mi,"$63,998*"
Dodge,Challenger,SXT,2018,74K mi,"$20,998*"
Chevrolet,Camaro,LT1,2022,8K mi,"$40,998*"
Ford,Mustang,Ecoboost Premium,2020,28K mi,"$27,998*"
Chevrolet,Corvette,Z06,2015,13K mi,"$66,998*"
Acura,TLX,,2018,93K mi,"$18,998*"
Ford,Mustang,Ecoboost,2020,78K mi,"$22,998*"
Mazda,MX-5,Miata Grand Touring,2016,64K mi,"$19,998*"
Mazda,MX-5,Miata Club,2022,6K mi,"$30,998*"
Mazda,MX-5,Miata RF Grand Touring,2023,11K mi,"$31,998*"
Porsche,718,Cayman,2018,62K mi,"$41,998*"
Chevrolet,Camaro,LT,2015,66K mi,"$19,998*"
Dodge,Charger,Scat Pack,2021,32K mi,"$42,998*"
Porsche,718,Cayman,2019,34K mi,"$51,998*"
Jaguar,F-Type,P300,2020,13K mi,"$39,998*"
Ford,Mustang,GT Premium,2020,22K mi,"$36,998*"
Chevrolet,Corvette,Stingray,2019,26K mi,"$49,998*"
BMW,M550,I xDrive,2020,48K mi,"$39,998*"
Acura,TLX,A-Spec,2020,68K mi,"$26,998*"
Genesis,G80,Ultimate,2018,25K mi,"$31,998*"
Lexus,RC,F,2015,80K mi,"$36,998*"
Dodge,Challenger,GT,2022,32K mi,"$25,998*"
Acura,TLX,Technology,2020,46K mi,"$24,998*"
Chevrolet,Corvette,Stingray 1LT,2024,2K mi,"$70,998*"
Nissan,370Z,,2019,29K mi,"$32,998*"
Genesis,G80,Ultimate,2020,18K mi,"$33,998*"
Dodge,Challenger,GT,2022,49K mi,"$26,998*"
Dodge,Challenger,SXT,2022,29K mi,"$27,998*"
Ford,Mustang,Ecoboost Premium,2022,8K mi,"$31,998*"
Chevrolet,Camaro,LT,2020,26K mi,"$27,998*"
Chevrolet,Camaro,SS,2016,12K mi,"$34,998*"
Acura,TLX,,2019,60K mi,"$21,998*"
Acura,TLX,,2019,70K mi,"$24,998*"
Chevrolet,Corvette,Stingray 3LT,2021,14K mi,"$76,998*"
Chevrolet,Camaro,LT,2020,48K mi,"$23,998*"
Nissan,370Z,Touring,2016,32K mi,"$26,998*"
Chevrolet,Corvette,Stingray 2LT,2023,4K mi,"$76,998*"
Dodge,Challenger,GT,2022,55K mi,"$25,998*"
Cadillac,CT4-V,,2023,32K mi,"$42,998*"
Mazda,MX-5,Miata RF Grand Touring,2021,55K mi,"$24,998*"
Acura,TLX,,2015,80K mi,"$19,998*"
Volkswagen,Jetta,GLI Autobahn,2019,30K mi,"$23,998*"
Dodge,Challenger,GT,2022,44K mi,"$26,998*"
Jaguar,XF,25t Prestige,2020,57K mi,"$23,998*"
Nissan,370Z,Sport Touring,2020,25K mi,"$33,998*"
Ford,Mustang,Ecoboost,2017,90K mi,"$19,998*"
Dodge,Challenger,SXT,2022,46K mi,"$24,998*"
Mercedes-Benz,CLS550,,2014,39K mi,"$27,998*"
Nissan,370Z,,2020,34K mi,"$29,998*"
Chevrolet,Camaro,LT,2020,43K mi,"$26,998*"
Chevrolet,Camaro,2LT,2023,81K mi,"$28,998*"
Acura,TLX,A-Spec,2020,28K mi,"$29,998*"
Jaguar,XE,25t Premium,2019,24K mi,"$25,998*"
Audi,S4,Prestige,2018,63K mi,"$28,998*"
Mazda,MX-5,Miata Grand Touring,2020,21K mi,"$26,998*"
Mazda,MX-5,Miata RF Grand Touring,2020,41K mi,"$26,998*"
Ford,Mustang,Ecoboost,2020,22K mi,"$24,998*"
Jaguar,F-Type,R,2017,22K mi,"$51,998*"
Chevrolet,Corvette,Stingray 2LT,2020,25K mi,"$69,998*"
Mazda,MX-5,Miata Sport,2021,28K mi,"$24,998*"
Porsche,Cayman,,2016,22K mi,"$45,998*"
Audi,TTS,,2017,59K mi,"$28,998*"
Chevrolet,Corvette,Z06,2016,49K mi,"$58,998*"
Chevrolet,Camaro,LT,2021,32K mi,"$27,998*"
Volkswagen,Jetta,GLI Autobahn,2019,67K mi,"$22,998*"
Dodge,Charger,Scat Pack,2021,35K mi,"$42,998*"
Ford,Mustang,GT,2024,4K mi,"$43,998*"
Dodge,Challenger,SXT,2022,43K mi,"$25,998*"
Genesis,G80,Ultimate,2018,110K mi,"$22,998*"
Ford,Mustang,GT Premium,2020,47K mi,"$35,998*"
Mazda,MX-5,Miata RF Grand Touring,2022,11K mi,"$30,998*"
Dodge,Charger,SXT,2023,34K mi,"$25,998*"
Dodge,Challenger,GT,2019,27K mi,"$25,998*"
BMW,M4,,2020,40K mi,"$49,998*"
Chevrolet,Corvette,Stingray 3LT,2021,20K mi,"$75,998*"
Ford,Mustang,Ecoboost,2020,38K mi,"$25,998*"
Chevrolet,Corvette,Stingray 2LT,2023,7K mi,"$79,998*"
Mazda,MX-5,Miata RF Grand Touring,2020,15K mi,"$28,998*"
Acura,TLX,,2018,98K mi,"$17,998*"
Chevrolet,Camaro,LT,2018,26K mi,"$24,998*"
Genesis,G80,,2020,18K mi,"$28,998*"
Dodge,Challenger,SXT,2020,19K mi,"$27,998*"
Chevrolet,Camaro,LT,2018,56K mi,"$25,998*"
Chevrolet,Corvette,Stingray 3LT,2021,29K mi,"$68,998*"
Chevrolet,Camaro,LS,2023,17K mi,"$27,998*"
Jaguar,F-Type,R,2015,21K mi,"$47,998*"
Ford,Mustang,Mach-E GT,2023,4K mi,"$41,998*"
Ford,Mustang,Ecoboost Premium,2022,56K mi,"$25,998*"
Chevrolet,Corvette,Stingray Z51,2014,34K mi,"$39,998*"
Toyota,Supra,3.0 Premium,2021,20K mi,"$47,998*"
Chevrolet,Corvette,Stingray 3LT,2023,7K mi,"$82,998*"
Chevrolet,Corvette,Stingray 2LT,2022,9K mi,"$70,998*"
Chevrolet,Corvette,Stingray 1LT,2023,25K mi,"$68,998*"
Dodge,Challenger,T/A 392,2019,38K mi,"$31,998*"
Nissan,370Z,Sport,2015,86K mi,"$19,998*"
Chevrolet,Camaro,LT,2015,57K mi,"$19,998*"
Dodge,Challenger,SXT,2022,47K mi,"$23,998*"
Ford,Mustang,,2015,98K mi,"$16,998*"
Dodge,Challenger,R/T,2019,119K mi,"$20,998*"
Dodge,Challenger,SXT,2016,32K mi,"$20,998*"
Chevrolet,Corvette,Grand Sport,2019,10K mi,"$64,998*"
BMW,230,I,2017,55K mi,"$19,998*"
Ford,Mustang,GT,2016,20K mi,"$29,998*"
Ford,Mustang,GT,2020,36K mi,"$32,998*"
Dodge,Charger,SXT,2023,11K mi,"$24,998*"
Audi,S8,,2024,10K mi,"$99,998*"
Ford,Mustang,Bullitt,2019,44K mi,"$34,998*"
Ford,Mustang,Ecoboost,2023,33K mi,"$26,998*"
Dodge,Charger,Scat Pack,2021,12K mi,"$40,998*"
Dodge,Challenger,R/T Scat Pack,2020,32K mi,"$37,998*"
Acura,TLX,,2019,26K mi,"$23,998*"
Ford,Mustang,GT Premium,2020,23K mi,"$37,998*"
Ford,Mustang,Ecoboost,2021,42K mi,"$24,998*"
Chevrolet,Corvette,Stingray 2LT,2023,24K mi,"$78,998*"
Dodge,Charger,Scat Pack,2021,40K mi,"$40,998*"
Ford,Mustang,Ecoboost Premium,2021,51K mi,"$24,998*"
Mazda,MX-5,Miata Club,2024,12K mi,"$30,998*"
Dodge,Challenger,SXT,2022,52K mi,"$24,998*"
Mazda,MX-5,Miata Grand Touring,2022,19K mi,"$27,998*"
Toyota,Supra,2.0,2022,26K mi,"$40,998*"
Chevrolet,Camaro,LT,2020,56K mi,"$22,998*"
Volkswagen,Jetta,GLI S,2019,38K mi,"$20,998*"
Hyundai,Genesis,Grand Touring,2014,69K mi,"$17,998*"
Chevrolet,Camaro,LT,2020,47K mi,"$24,998*"
Toyota,Supra,3.0 Premium,2021,29K mi,"$48,998*"
Jaguar,F-Type,P300,2020,34K mi,"$36,998*"
Scion,FR-S,,2013,94K mi,"$16,998*"
Chevrolet,Corvette,Grand Sport,2019,56K mi,"$55,998*"
Ford,Mustang,Ecoboost Premium,2020,45K mi,"$21,998*"
Ford,Mustang,Ecoboost Premium,2016,77K mi,"$19,998*"
Jaguar,F-Type,340HP,2018,7K mi,"$39,998*"
Acura,TLX,,2015,50K mi,"$18,998*"
Ford,Mustang,Bullitt,2020,6K mi,"$45,998*"
Dodge,Challenger,SXT,2022,57K mi,"$24,998*"
Mazda,MX-5,Miata Grand Touring,2022,12K mi,"$28,998*"
Ford,Mustang,GT,2024,6K mi,"$42,998*"
Jaguar,F-Type,P300,2020,41K mi,"$34,998*"
